,Reviews,Sentiment,Clean_reviews
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0,oh forgot also mention weird color effect ha phone
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1,using iriver spinn case fit fine
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,also area unit broke fond magnetic strap
425,"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,overall psyched phone ha appointment contact get great reception
426,"every thing on phone work perfectly, she like it.",1,every thing phone work perfectly like
427,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,another note phone appearance really look rather bland especially black model
428,IT'S REALLY EASY.,1,really easy
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1,sanyo ha survived dozen drop blacktop without ill effect
430,Fantastic earphones.,1,fantastic earphone
431,It finds my cell phone right away when I enter the car.,1,find cell phone right away enter car
432,Low Quality.,0,low quality
433,I highly recommend this modest priced cellular phone.,1,highly recommend modest priced cellular phone
434,But it does get better reception and clarity than any phone I've had before.,1,doe get better reception clarity phone
435,Warning - Stay away.,0,warning stay away
436,I wish I could return the unit and get back my money.,0,wish could return unit get back money
437,Awsome Device Works Great!!.,1,awsome device work great
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,used talk hour battery would literally drained dying
439,"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,find bad unit come one earpad would recommend anyone
440,Very Displeased.,0,displeased
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,might gotten defect would risk buying built quality alone
442,They made this case too small and is very difficult to install.,0,made case small difficult install
443,Restored my phone to like new performance.,1,restored phone like new performance
444,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,would recommend purchasing jabra jx series work flawlessly moto q go figure
445,"I searched the Internet, and found this one to be the best value.",1,searched internet found one best value
446,Does not fit.,0,doe fit
447,Very happy with this product.,1,happy product
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1,screen size big key pad lit well enough camera quality excellent camera phone
449,There's really nothing bad I can say about this headset.,0,really nothing bad say headset
450,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,glad found product amazon hard find high priced
451,Portable and it works.,1,portable work
452,"My colleague & I now get great reception.A little expensive, but performance is great.",1,colleague get great reception little expensive performance great
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0,even fully charged went bed turned blue tooth wi fi noticed left morning
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,also problem phone reading memory card always turn
455,Not good when wearing a hat or sunglasses.,0,good wearing hat sunglass
456,Timely shipment and quality product.,1,timely shipment quality product
457,Nice solid keyboard.,1,nice solid keyboard
458,Very well made and fits my Surefire GX2 perfectly.,1,well made fit surefire gx perfectly
459,Horrible phone.,0,horrible phone
460,BT50 battery junk!.,0,bt battery junk
461,We would recommend these to others.,1,would recommend others
462,Cant get the software to work with my computer.,0,cant get software work computer
463,Disappointed!.,0,disappointed
464,poor voice clarity.,0,poor voice clarity
465,The battery works great!,1,battery work great
466,No buyers remorse on this one!.,0,buyer remorse one
467,Very disappointed in AccessoryOne.,0,disappointed accessoryone
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0,find inexcusable probably returning phone perhaps changing carrier
469,"Looks great and is strong.""",1,look great strong
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1,tmobile service year pretty happy
471,The update procedure is difficult and cumbersome.,0,update procedure difficult cumbersome
472,Disappointment.. I hate anything that goes in my ear.,0,disappointment hate anything go ear
473,Great software for Motorolas.,1,great software motorolas
474,The delivery was on time.,1,delivery wa time
475,Very easy to use.,1,easy use
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",0,uncomfortable ear use lg vx env
477,The volume switch rocketed out of the unit to a destination unknown.,0,volume switch rocketed unit destination unknown
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1,hold charge long time reasonably comfortable long wearing condition quality sound tremendous
479,I'd like to return it.,0,like return
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,keyboard really worthwhile usefulness sturdy enough expect problem
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",0,verizon bill however difficult understand even though pricing plan simple
482,"After charging overnight, these batteries work great.",1,charging overnight battery work great
483,You won't regret it!,1,regret
484,I love this phone!.,1,love phone
485,A Disappointment.,0,disappointment
486,Its not user friendly.,0,user friendly
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0,unfortunately ability actually know receiving call rather important feature phone pitiful respect
488,"Then I exchanged for the same phone, even that had the same problem.",0,exchanged phone even problem
489,This results in the phone being either stuck at max volume or mute.,0,result phone either stuck max volume mute
490,This PDA rocks.,1,pda rock
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1,super charged use small hybrid palmtop camera cellphone excels role
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,would definitely recommend jabra bt v looking comfort clarity great price
493,I had Verizon 2 years ago and really liked their service.,1,verizon year ago really liked service
494,Pretty piece of junk.,0,pretty piece junk
495,Plug was the wrong size.,0,plug wa wrong size
496,Works as described.,1,work described
497,Save your money.... I've had this item for 11 months now.,0,save money item month
498,Bad Purchase.,0,bad purchase
499,WELL IM SATISFIED.,1,well im satisfied
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1,bose noise cancelling amazing important nyc commuter
501,This battery is an excellent bargain!,1,battery excellent bargain
502,Defective crap.,0,defective crap
503,I would have given no star if I was able.,0,would given star wa able
504,I wear glasses and it fits fine with them.,1,wear glass fit fine
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",0,sound quality device unacceptable unless really quiet area almost hear nothing
506,I would not recommend this item to anyone.,0,would recommend item anyone
507,The holster that arrived did not match the photo in the ad.,0,holster arrived match photo ad
508,great...no problems at all!.,1,great problem
509,"As an earlier review noted, plug in this charger and nothing happens.",0,earlier review noted plug charger nothing happens
510,This frog phone charm is adorable and very eye catching.,1,frog phone charm adorable eye catching
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,never know pushed hard enough right number time function want
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1,sound clear people talk amazed quality
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1,got aluminum case new palm vx worked really well ha protected handheld perfectly far
514,"very good product, well made.",1,good product well made
515,Mobile Phone Tools are a must have.,1,mobile phone tool must
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1,impressed job motorola sturdiness phone
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,received order well within shipping timeframe everything wa good working order overall excited source
518,The phone is sturdy and waterproof.,1,phone sturdy waterproof
519,I am not impressed with this and i would not recommend this item to anyone.,0,impressed would recommend item anyone
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0,complaint standard sound volume little low even turned
521,Thanks again to Amazon for having the things I need for a good price!,1,thanks amazon thing need good price
522,I ended up sliding it on the edge of my pants or back pockets instead.,1,ended sliding edge pant back pocket instead
523,I had to go to a store and bought a new NOKIA phone which is working great.,1,go store bought new nokia phone working great
524,Works great!.,1,work great
525,REALLY UGLY.,0,really ugly
526,"horrible, had to switch 3 times.",0,horrible switch time
527,The noise shield is incrediable.,1,noise shield incrediable
528,No real improvement.,0,real improvement
529,Razr Battery - Good buy.,1,razr battery good buy
530,Keep up the good work Amazon!!,1,keep good work amazon
531,They refuse to refund or replace.,0,refuse refund replace
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listening
533,So I basically threw my money out the window for nothing.,0,basically threw money window nothing
534,Great case and price!,1,great case price
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0,took wa one drop inch kitchen counter wa cracked impressed laughing
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1,bluetooth range good day ago left phone trunk got call carried conversation without hitch
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",1,small sleek impressive looking practical setup ample storage place
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1,eargels channel sound directly ear seem increase sound volume clarity
539,none of the new ones have ever quite worked properly.,0,none new one ever quite worked properly
540,I am glad I purchased it.,1,glad purchased
541,I've missed numerous calls because of this reason.,0,missed numerous call reason
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",0,perhaps phone defective people hear use
543,Don't buy this product.,0,buy product
544,"sucked, most of the stuff does not work with my phone.",0,sucked stuff doe work phone
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,shifting bubbling peeling even scratch nothing happier new one droid
546,Worst software ever used.... If I could give this zero stars I would.,0,worst software ever used could give zero star would
547,Trying to make a call on these is an exercise in frustration.,0,trying make call exercise frustration
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0,case flimsy piece plastic ha front side protection whatsoever
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1,jabra earset wa happy sound quality especially outgoing better
550,"I love the camera, it's really pretty good quality.",1,love camera really pretty good quality
551,Thank you for such great service.,1,thank great service
552,Its a total package.,1,total package
553,"The seller is very understanding and patient, I would definitely buy from them again.",1,seller understanding patient would definitely buy
554,I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.,0,give wirefly star contact cingular inform practice
555,It's AGGRAVATING!,0,aggravating
556,Great product for the price!.,1,great product price
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1,purchased family friend enjoy clarity ease use
558,Virgin Wireless rocks and so does this cheap little phone!,1,virgin wireless rock doe cheap little phone
559,"None of it works, just don't buy it.",0,none work buy
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0,muddy low quality sound casing around wire insert wa poorly super glued slid
561,Please dont waste your money.,0,please dont waste money
562,"All in all, I'm quite satisfied with this purchase.",1,quite satisfied purchase
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",0,looking good quality motorola headset keep looking
564,Yet Plantronincs continues to use the same flawed charger design.,0,yet plantronincs continues use flawed charger design
565,Disapointing Results.,0,disapointing result
566,Cumbersome design.,0,cumbersome design
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1,great wa new packaged nice work good problem came le time expected
568,Great Product.,1,great product
569,It's A PIECE OF CRAP!,0,piece crap
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",0,experience wa terrible wa fourth bluetooth headset wa much comfortable last jabra hated
571,This fixes all the problems.,1,fix problem
572,Worst ever.,0,worst ever
573,I am very happy,1,happy
574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,trouble accessing internet downloading ringtones performing function
575,"I can barely ever hear on it and am constantly saying ""what?""",0,barely ever hear constantly saying
576,The battery life is highly unacceptable.,0,battery life highly unacceptable
577,That company is a joke.,0,company joke
578,It does everything the description said it would.,1,doe everything description said would
579,Due to this happening on every call I was forced to stop using this headset.,0,due happening every call wa forced stop using headset
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1,work great car charger especially plug two adapter time
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",0,verizon tech support walked procedure none worked ended hard set wiping data
582,"Voice Quality, Signal Strength, Dropped Calls.",0,voice quality signal strength dropped call
583,"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",1,play louder speaker size price low would think quality lacking however
584,Better than expected.,1,better expected
585,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,feel poorly constructed menu difficult navigate button recessed difficult push
586,Battery is holding up well.,1,battery holding well
587,Also difficult to put on.I'd recommend avoiding this product.,0,also difficult put recommend avoiding product
588,"I only used it two days, and it wasn't always easy to hear with.",0,used two day always easy hear
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0,got car charger even week charger wa broken went plug started smoking
590,Sprint - terrible customer service.,0,sprint terrible customer service
591,Linked to my phone without effort.,1,linked phone without effort
592,THey are so cool!,1,cool
593,Easy to use.,1,easy use
594,Better Than New.,1,better new
595,"What possesed me to get this junk, I have no idea...",0,possesed get junk idea
596,Piece of trash.,0,piece trash
597,A pretty good product.,1,pretty good product
598,This is a great phone!.,1,great phone
599,"For the price on Amazon, it is an excellent product, which I would highly recommend.",1,price amazon excellent product would highly recommend
600,Their Research and Development division obviously knows what they're doing.,1,research development division obviously know
601,"The real killer is the volume, and of course it breaking.",0,real killer volume course breaking
602,Those phones are working just fine now.,1,phone working fine
603,I am more than happy with this product.,1,happy product
604,Poor Construction.,0,poor construction
605,This is infuriating.,0,infuriating
606,"Overall, I would recommend this phone over the new Walkman.",1,overall would recommend phone new walkman
607,Sprint charges for this service.,0,sprint charge service
608,"It is cheap, and it feel and look just as cheap.",0,cheap feel look cheap
609,It fits my ear well and is comfortable on.,1,fit ear well comfortable
610,It doesn't work in Europe or Asia.,0,work europe asia
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1,clipping belt deffinitely make feel like cent coming
612,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1,like design look jabra behing ear headset pretty comfortible wear hour day without pain ear
613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,wa amazed quick arrival two original lg cell phone battery fraction price
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,worst phone samsung crap crappy samsung e worst ever seeen
615,the charger worked for about a week and then completely stopped charging my phone.,0,charger worked week completely stopped charging phone
616,Poor product.,0,poor product
617,However I needed some better instructions.,0,however needed better instruction
618,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0,need two hand operate screen software interface decade old compete new software design
619,Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1,worked well paired treo w skype headset pc using usb bluetooth transceiver
620,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,steer clear product go genuine palm replacementr pen come three pack
621,DO NOT BUY DO NOT BUYIT SUCKS,0,buy buyit suck
622,This is a great product..... sure beats using your fingers!.,1,great product sure beat using finger
623,"Plus, I seriously do not believe it is worth its steep price point.",0,plus seriously believe worth steep price point
624,All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1,case tried normally fall apart month one seems long haul
625,Very Dissapointing Performance.,0,dissapointing performance
626,Don't make the same mistake that I did and please don't buy this phone.,0,make mistake please buy phone
627,This phone might well be the worst I've ever had in any brand.,0,phone might well worst ever brand
628,Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0,case wa le extra originally put later discarded scratched ear
629,I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1,recommend igo anyone different brand cell phone mp player family
630,Don't bother - go to the store.,0,bother go store
631,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1,posted detailed comment grey black phone fire red great color
632,I did not have any problem with this item and would order it again if needed.,1,problem item would order needed
633,You get what you pay for I guess.,0,get pay guess
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,software great job could also make ringtones form existing cd without internet connection
635,im surprised this is a good quality car charger and there's not much reviews about it.,1,im surprised good quality car charger much review
636,These are fabulous!,1,fabulous
637,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,however bt headset currently good real time game like first person shooter since audio delay mess
638,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1,used bitpim free program find internet transfer data phone price cable wa excellent
639,Disappointing accessory from a good manufacturer.,0,disappointing accessory good manufacturer
640,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,performed awful muffled tinny incoming sound severe echo end call
641,Very wind-resistant.,1,wind resistant
642,"Obviously they have a terrible customer service, so you get what you pay for.",0,obviously terrible customer service get pay
643,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,last forever overly expensive replace easy operate sound much better others tried
644,"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0,contacted company told although unit wa still warranty produce receipt wa luck
645,Linksys should have some way to exchange a bad phone for a refurb unit or something!,0,linksys way exchange bad phone refurb unit something
646,Phone is sturdy as all nokia bar phones are.,1,phone sturdy nokia bar phone
647,Great phone.,1,great phone
648,"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0,placed treo case wa snug wa lot extra room side
649,I'm pleased.,1,pleased
650,Battery is terrible.,0,battery terrible
651,I found the product to be easy to set up and use.,1,found product easy set use
652,The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,earpiece large heavy keep falling ear
653,Utter crap.. Sound quality is TERRIBLE.,0,utter crap sound quality terrible
654,"The charger arrived within the promised timeframe, but it did not work.",0,charger arrived within promised timeframe work
655,"No ear loop needed, it's tiny and the sound is great.",1,ear loop needed tiny sound great
656,"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,finally three four time spring latch broke could use longer visor
657,"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1,handsfree part work fine car try download address book treo reboots overall still rate device high
658,Talk about USELESS customer service.,0,talk useless customer service
659,"It felt too light and ""tinny."".",0,felt light tinny
660,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,doe fit palm tungsten e broke first time tried plug
661,I'm happy about this purchase- good quality and low price.,1,happy purchase good quality low price
662,I love the look and feel of Samsung flipphones.,1,love look feel samsung flipphones
663,Its well-designed and very sharp -- the blue is a very nice color.,1,well designed sharp blue nice color
664,Does everything it should and more.,1,doe everything
665,I could not recommend these more.,0,could recommend
666,Nice Sound.,1,nice sound
667,"Looks good in the picture, but this case was a huge disappointment!!",0,look good picture case wa huge disappointment
668,Much less than the jawbone I was going to replace it with.,1,much le jawbone wa going replace
669,Setup went very smoothly.,1,setup went smoothly
670,its extremely slow and takes forever to do anything with it.,0,extremely slow take forever anything
671,"A must study for anyone interested in the ""worst sins"" of industrial design.",0,must study anyone interested worst sin industrial design
672,The first thing that happened was that the tracking was off.,0,first thing happened wa tracking wa
673,"It is well made, easy to access the phone and has a handy, detachable belt clip.",1,well made easy access phone ha handy detachable belt clip
674,Then I had to continue pairing it periodically since it somehow kept dropping.,0,continue pairing periodically since somehow kept dropping
675,Can't upload ringtones from a third party.,0,upload ringtones third party
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0,bluetooth doe work phone lock screen flash make call randomly pocket locked
677,Truly awful.,0,truly awful
678,"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,work fine motorola cellphone lot better worn battery
679,The volume for the ringer is REAL good (you have choices how loud).,1,volume ringer real good choice loud
680,And none of the tones is acceptable.,0,none tone acceptable
681,camera color balance is AWFUL.,0,camera color balance awful
682,"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0,product clearly ready prime time care cool look tell call coming worthless
683,I love the ringtones because they are so upbeat!,1,love ringtones upbeat
684,Chinese Forgeries Abound!.,0,chinese forgery abound
685,Easy to pair with my Samsung Cell.,1,easy pair samsung cell
686,The instructions didn't explain that a microphone jack could be used.,0,instruction explain microphone jack could used
687,i would advise to not purchase this item it never worked very well.,0,would advise purchase item never worked well
688,Too bad you have to pay up to $$$ a month for the service!,0,bad pay month service
689,Works well.,1,work well
690,The nokia CA-42 USB cable did not work with my phone.,0,nokia ca usb cable work phone
691,Clear crisp sound.,1,clear crisp sound
692,"I have to use the smallest earpieces provided, but it stays on pretty well.",1,use smallest earpiece provided stay pretty well
693,"The biggest complaint I have is, the battery drains superfast.",0,biggest complaint battery drain superfast
694,The design might be ergonomic in theory but I could not stand having these in my ear.,0,design might ergonomic theory could stand ear
695,Do NOT buy if you want to use the holster.,0,buy want use holster
696,The phone can also take great pictures and even video clips.,1,phone also take great picture even video clip
697,It doesn't make you look cool.,0,make look cool
698,"Because both ears are occupied, background is not distracting at all.",1,ear occupied background distracting
699,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,comfortable fit need headset comfortable least hour time entire day
700,"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,also phone seem accept anything except cbr mp preferably ripped window medium player
701,You can't beat the price on these.,1,beat price
702,"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,come strong light use light camera shot even flash signal seriously
703,lightweight and works well.,1,lightweight work well
704,So just beware.,0,beware
705,I love this cable - it allows me to connect any mini-USB device to my PC.,1,love cable allows connect mini usb device pc
706,So anyone near you will hear part of your conversation.,0,anyone near hear part conversation
707,This is cool because most cases are just open there allowing the screen to get all scratched up.,1,cool case open allowing screen get scratched
708,I bought this phone as a replacement for my StarTac and have regretted it since.,0,bought phone replacement startac regretted since
709,Appears to actually outperform the original battery from China that came with my V325i.,1,appears actually outperform original battery china came v
710,Can't store anything but phone numbers to SIM.,0,store anything phone number sim
711,"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0,last le minute actually try use phone wife ha phone problem
712,Poor quality.,0,poor quality
713,"jabra ear gels ""R"" the best!.",1,jabra ear gel r best
714,Not worth it.,0,worth
715,The phone crashed completely and now I have to get it replaced.,0,phone crashed completely get replaced
716,"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,quit working used month purchased another one best headset ever owned
717,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc
718,It was a great phone.,1,wa great phone
719,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,simply want small flip phone look elsewhere extra bell whistle mediocre
720,"Good value, works fine - power via USB, car, or wall outlet.",1,good value work fine power via usb car wall outlet
721,My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,phone slide around car grip prevents phone slipping hand
722,This is simply the BEST bluetooth headset for sound quality!,1,simply best bluetooth headset sound quality
723,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,think plan one sure last moto phone
724,"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,span hour two people exclaim whoa new phone tv
725,I have always used corded headsets and the freedom from the wireless is very helpful.,1,always used corded headset freedom wireless helpful
726,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,case ha passed one year mark show sign wear functional
727,"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,leather nice soft fit tight cut face good shape
728,It has everything I need and I couldn't ask for more.,1,ha everything need ask
729,After receiving and using the product for just 2 days it broke.,0,receiving using product day broke
730,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,product great make working lot easier go copier waiting hold something
731,None of the three sizes they sent with the headset would stay in my ears.,0,none three size sent headset would stay ear
732,T-Mobile has the best customer service anywhere.,1,mobile ha best customer service anywhere
733,Arrived quickly and much less expensive than others being sold.,1,arrived quickly much le expensive others sold
734,We have tried 2 units and they both failed within 2 months.. Pros,0,tried unit failed within month pro
735,"Provides good protection and looks classy, too.",1,provides good protection look classy
736,Krussel Always good.,1,krussel always good
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,tracfonewebsite user friendly make easy toactivate etc
738,The design is very good.4.,1,design good
739,I great reception all the time.,1,great reception time
740,I would highly recommend this product.,1,would highly recommend product
741,"Couldn't use the unit with sunglasses, not good in Texas!",0,use unit sunglass good texas
742,It dit not work most of the time with my Nokia 5320.,0,dit work time nokia
743,"Bought mainly for the charger, which broke soon after purchasing.",0,bought mainly charger broke soon purchasing
744,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,like loud buzzing override conversation phone
745,Fantastic buy and will get again for whatever my next phone is,1,fantastic buy get whatever next phone
746,"stay away from this store, be careful.",0,stay away store careful
747,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,blueant supertooth hand free phone speaker awesome
748,Does not fit.,0,doe fit
749,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,item arrived quickly work great metro pc samsung sch r slider phone sony premium sound ear plug
750,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,light ha plenty battery capacity confortable wear somewhat extended period time
751,disappointing.,0,disappointing
752,Blue Ant is easy to use.,1,blue ant easy use
753,Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1,cheap hey work wa pleasantly suprised given low cost item
754,The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0,camera phone may used dustpan indoors rather using disposable
755,Then a few days later the a puff of smoke came out of the phone while in use.,0,day later puff smoke came phone use
756,It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,convenient simple use get job done make car ride much smoother
757,The nano stated it.My son was dissapointed.,0,nano stated son wa dissapointed
758,The sound quality is excellent as well.,1,sound quality excellent well
759,Its the best headset I have used.,1,best headset used
760,Would not reccommend.,0,would reccommend
761,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,around year carry highest quality anti glare screen protector found date
762,Just what I wanted.,1,wanted
763,This particular model would not work with my Motorola Q smartphone.,0,particular model would work motorola q smartphone
764,wont work right or atleast for me.,0,wont work right atleast
765,in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,addition feel amp look phone lightweight cheap plastic
766,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,warranty problem reoccure bottom line put money somewhere else cingular support
767,"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,really wanted plantronics right one ha many issue good
768,Great product.,1,great product
769,Crisp and Clear.,1,crisp clear
770,AFter the first charge kept going dead after 12 minutes.,0,first charge kept going dead minute
771,"VERY cheap plastic, creaks like an old wooden floor.",0,cheap plastic creak like old wooden floor
772,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,get absolutely horrible reception apartment phone problem
773,The reception has been generally good.,1,reception ha generally good
774,"Excellent sound, battery life and inconspicuous to boot!.",1,excellent sound battery life inconspicuous boot
775,Great bluetooth!.,1,great bluetooth
776,I highly recommend this case.,1,highly recommend case
777,WORTHWHILE.,1,worthwhile
778,This is a great deal.,1,great deal
779,"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,phone got year old slowly breaking despite much care part
780,I am sorry I made this purchase.,0,sorry made purchase
781,I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,bought hoping could make bluetooth headset fit better thing made impossible wear
782,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,treo mobile refused replace forced buy another phone without kind upgrade discount
783,It was horrible!.,0,wa horrible
784,I don't think it would hold it too securly on your belt.,0,think would hold securly belt
785,This allows the possibility of double booking for the same date and time after the first.,0,allows possibility double booking date time first
786,They work about 2 weeks then break.,0,work week break
787,It is simple to use and I like it.,1,simple use like
788,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,great tool entertainment communication data management oh sure use activesync optimal data synchronization result
789,I can't use this case because the smell is disgusting.,0,use case smell disgusting
790,NOT WHAT I WANTED.,0,wanted
791,I own 2 of these cases and would order another.,1,case would order another
792,Great Phone.,1,great phone
793,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,bought battery coupon amazon happy purchase
